date,CPU 1,CPU 2,CPU 3,CPU 4
1,15.61,7.94,4.47,15.40
2,24.33,11.67,5.87,15.40
3,24.33,11.67,5.87,15.40
4,24.33,11.67,5.87,15.40
5,24.33,11.67,5.87,15.40
6,24.33,11.67,5.87,5.70
7,31.55,6.38,6.94,5.70
8,31.55,6.38,6.94,5.70
9,31.55,6.38,6.94,5.70
10,31.55,6.38,6.94,5.70
11,31.55,6.38,6.94,6.87
12,8.66,9.73,5.13,6.87
13,8.66,9.73,5.13,6.87
14,8.66,9.73,5.13,6.87
15,8.66,9.73,5.13,6.87
16,8.66,9.73,5.13,9.81
17,18.24,10.00,4.06,9.81
18,18.24,10.00,4.06,9.81
19,18.24,10.00,4.06,9.81
20,18.24,10.00,4.06,9.81
21,18.24,10.00,4.06,19.37
22,8.69,13.75,4.94,19.37
23,8.69,13.75,4.94,19.37
24,8.69,13.75,4.94,19.37
25,8.69,13.75,4.94,19.37
26,8.69,13.75,4.94,11.59
27,24.83,8.39,3.13,11.59
28,24.83,8.39,3.13,11.59
29,24.83,8.39,3.13,11.59
30,24.83,8.39,3.13,11.59
31,24.83,8.39,3.13,15.70
32,24.12,18.34,5.82,15.70
33,24.12,18.34,5.82,15.70
34,24.12,18.34,5.82,15.70
35,24.12,18.34,5.82,15.70
36,24.12,18.34,5.82,12.26
37,20.25,19.00,5.06,12.26
38,20.25,19.00,5.06,12.26
39,20.25,19.00,5.06,12.26
40,20.25,19.00,5.06,12.26
41,20.25,19.00,5.06,16.67
42,17.19,9.65,7.80,16.67
43,17.19,9.65,7.80,16.67
44,17.19,9.65,7.80,16.67
45,17.19,9.65,7.80,16.67
46,17.19,9.65,7.80,15.13
47,19.81,7.12,5.19,15.13
48,19.81,7.12,5.19,15.13
49,19.81,7.12,5.19,15.13
50,19.81,7.12,5.19,15.13
51,19.81,7.12,5.19,6.56
52,25.63,3.25,3.12,6.56
53,25.63,3.25,3.12,6.56
54,25.63,3.25,3.12,6.56
55,25.63,3.25,3.12,6.56
56,25.63,3.25,3.12,8.81
57,14.76,12.37,2.06,8.81
58,14.76,12.37,2.06,8.81
59,14.76,12.37,2.06,8.81
60,14.76,12.37,2.06,8.81
61,14.76,12.37,2.06,16.48
62,16.81,11.13,5.74,16.48
63,16.81,11.13,5.74,16.48
64,16.81,11.13,5.74,16.48
65,16.81,11.13,5.74,16.48
66,16.81,11.13,5.74,25.44
67,27.32,18.50,12.56,25.44
68,27.32,18.50,12.56,25.44
69,27.32,18.50,12.56,25.44
70,27.32,18.50,12.56,25.44
71,27.32,18.50,12.56,20.37
72,28.94,19.00,10.18,20.37
73,28.94,19.00,10.18,20.37
74,28.94,19.00,10.18,20.37
75,28.94,19.00,10.18,20.37
76,28.94,19.00,10.18,21.86
77,19.69,11.55,7.21,21.86
78,19.69,11.55,7.21,21.86
79,19.69,11.55,7.21,21.86
80,19.69,11.55,7.21,21.86
81,19.69,11.55,7.21,18.26
82,9.64,9.13,6.06,18.26
83,9.64,9.13,6.06,18.26
84,9.64,9.13,6.06,18.26
85,9.64,9.13,6.06,18.26
86,9.64,9.13,6.06,16.12
87,22.16,11.82,7.88,16.12
88,22.16,11.82,7.88,16.12
89,22.16,11.82,7.88,16.12
90,22.16,11.82,7.88,16.12
91,22.16,11.82,7.88,12.26
92,8.96,6.38,5.19,12.26
93,8.96,6.38,5.19,12.26
94,8.96,6.38,5.19,12.26
95,8.96,6.38,5.19,12.26
96,8.96,6.38,5.19,2.64
97,14.55,7.87,2.19,2.64
98,14.55,7.87,2.19,2.64
99,14.55,7.87,2.19,2.64
100,14.55,7.87,2.19,2.64
101,14.55,7.87,2.19,12.31
102,6.56,7.06,9.50,12.31
103,6.56,7.06,9.50,12.31
104,6.56,7.06,9.50,12.31
105,6.56,7.06,9.50,12.31
106,6.56,7.06,9.50,21.42
107,19.10,12.61,15.61,21.42
108,19.10,12.61,15.61,21.42
109,19.10,12.61,15.61,21.42
110,19.10,12.61,15.61,21.42
111,19.10,12.61,15.61,15.45
112,11.57,9.25,6.64,15.45
113,11.57,9.25,6.64,15.45
114,11.57,9.25,6.64,15.45
115,11.57,9.25,6.64,15.45
116,11.57,9.25,6.64,5.64
117,4.45,12.74,2.26,5.64
118,4.45,12.74,2.26,5.64
119,4.45,12.74,2.26,5.64
120,4.45,12.74,2.26,5.64
121,4.45,12.74,2.26,4.06
122,8.69,7.38,1.06,4.06
123,8.69,7.38,1.06,4.06
124,8.69,7.38,1.06,4.06
125,8.69,7.38,1.06,4.06
126,8.69,7.38,1.06,9.61
127,9.00,12.61,5.68,9.61
128,9.00,12.61,5.68,9.61
129,9.00,12.61,5.68,9.61
130,9.00,12.61,5.68,9.61
131,9.00,12.61,5.68,10.00
132,6.19,9.26,4.13,10.00
133,6.19,9.26,4.13,10.00
134,6.19,9.26,4.13,10.00
135,6.19,9.26,4.13,10.00
136,6.19,9.26,4.13,11.87
137,10.68,8.06,6.81,11.87
138,10.68,8.06,6.81,11.87
139,10.68,8.06,6.81,11.87
140,10.68,8.06,6.81,11.87
141,10.68,8.06,6.81,12.00
142,11.00,7.06,3.25,12.00
143,11.00,7.06,3.25,12.00
144,11.00,7.06,3.25,12.00
145,11.00,7.06,3.25,12.00
146,11.00,7.06,3.25,3.59
147,15.68,2.32,3.00,3.59
148,15.68,2.32,3.00,3.59
149,15.68,2.32,3.00,3.59
150,15.68,2.32,3.00,3.59
151,15.68,2.32,3.00,14.24
152,13.19,5.75,5.81,14.24
153,13.19,5.75,5.81,14.24
154,13.19,5.75,5.81,14.24
155,13.19,5.75,5.81,14.24
156,13.19,5.75,5.81,3.77
157,7.38,10.68,6.00,3.77
158,7.38,10.68,6.00,3.77
159,7.38,10.68,6.00,3.77
160,7.38,10.68,6.00,3.77
161,7.38,10.68,6.00,24.48
162,10.74,13.80,6.00,24.48
163,10.74,13.80,6.00,24.48
164,10.74,13.80,6.00,24.48
165,10.74,13.80,6.00,24.48
166,10.74,13.80,6.00,17.59
167,13.81,19.61,4.13,17.59
168,13.81,19.61,4.13,17.59
169,13.81,19.61,4.13,17.59
170,13.81,19.61,4.13,17.59
171,13.81,19.61,4.13,17.94
172,7.39,15.28,4.00,17.94
173,7.39,15.28,4.00,17.94
174,7.39,15.28,4.00,17.94
175,7.39,15.28,4.00,17.94
176,7.39,15.28,4.00,23.68
177,18.37,15.00,5.89,23.68
178,18.37,15.00,5.89,23.68
179,18.37,15.00,5.89,23.68
180,18.37,15.00,5.89,23.68
181,18.37,15.00,5.89,13.63
182,36.92,19.71,6.00,13.63
183,36.92,19.71,6.00,13.63
184,36.92,19.71,6.00,13.63
185,36.92,19.71,6.00,13.63
186,36.92,19.71,6.00,23.36
187,27.64,13.41,7.88,23.36
188,27.64,13.41,7.88,23.36
189,27.64,13.41,7.88,23.36
190,27.64,13.41,7.88,23.36
191,27.64,13.41,7.88,17.51
192,13.08,30.63,3.36,17.51
193,13.08,30.63,3.36,17.51
194,13.08,30.63,3.36,17.51
195,13.08,30.63,3.36,17.51
196,13.08,30.63,3.36,14.21
197,25.98,39.45,7.66,14.21
198,25.98,39.45,7.66,14.21
199,25.98,39.45,7.66,14.21
200,25.98,39.45,7.66,14.21
201,25.98,39.45,7.66,15.87
202,27.94,13.81,6.13,15.87
203,27.94,13.81,6.13,15.87
204,27.94,13.81,6.13,15.87
205,27.94,13.81,6.13,15.87
206,27.94,13.81,6.13,17.88
207,28.00,33.58,12.57,17.88
208,28.00,33.58,12.57,17.88
209,28.00,33.58,12.57,17.88
210,28.00,33.58,12.57,17.88
211,28.00,33.58,12.57,16.12
212,32.70,9.64,3.61,16.12
213,32.70,9.64,3.61,16.12
214,32.70,9.64,3.61,16.12
215,32.70,9.64,3.61,16.12
216,32.70,9.64,3.61,8.52
217,2.13,1.45,1.13,8.52
218,2.13,1.45,1.13,8.52
219,2.13,1.45,1.13,8.52
220,2.13,1.45,1.13,8.52
221,2.13,1.45,1.13,20.16
222,14.04,10.36,6.61,20.16
223,14.04,10.36,6.61,20.16
224,14.04,10.36,6.61,20.16
225,14.04,10.36,6.61,20.16
226,14.04,10.36,6.61,19.13
227,20.62,6.32,6.06,19.13
228,20.62,6.32,6.06,19.13
229,20.62,6.32,6.06,19.13
230,20.62,6.32,6.06,19.13
231,20.62,6.32,6.06,10.56
232,10.68,7.88,2.25,10.56
233,10.68,7.88,2.25,10.56
234,10.68,7.88,2.25,10.56
235,10.68,7.88,2.25,10.56
236,10.68,7.88,2.25,9.06
237,9.06,3.30,2.94,9.06
238,9.06,3.30,2.94,9.06
239,9.06,3.30,2.94,9.06
240,9.06,3.30,2.94,9.06
241,9.06,3.30,2.94,5.25
242,4.31,10.50,2.06,5.25
243,4.31,10.50,2.06,5.25
244,4.31,10.50,2.06,5.25
245,4.31,10.50,2.06,5.25
246,4.31,10.50,2.06,8.74
247,6.81,18.49,4.81,8.74
248,6.81,18.49,4.81,8.74
249,6.81,18.49,4.81,8.74
250,6.81,18.49,4.81,8.74
251,6.81,18.49,4.81,21.21
252,24.84,26.51,15.33,21.21
253,24.84,26.51,15.33,21.21
254,24.84,26.51,15.33,21.21
255,24.84,26.51,15.33,21.21
256,24.84,26.51,15.33,16.39
257,18.51,12.97,4.77,16.39
258,18.51,12.97,4.77,16.39
259,18.51,12.97,4.77,16.39
260,18.51,12.97,4.77,16.39
261,18.51,12.97,4.77,18.81
262,24.55,13.87,4.00,18.81
263,24.55,13.87,4.00,18.81
264,24.55,13.87,4.00,18.81
265,24.55,13.87,4.00,18.81
266,24.55,13.87,4.00,8.71
267,16.58,4.64,3.06,8.71
268,16.58,4.64,3.06,8.71
269,16.58,4.64,3.06,8.71
270,16.58,4.64,3.06,8.71
271,16.58,4.64,3.06,12.65
272,19.72,14.24,11.38,12.65
273,19.72,14.24,11.38,12.65
274,19.72,14.24,11.38,12.65
275,19.72,14.24,11.38,12.65
276,19.72,14.24,11.38,22.42
277,10.58,18.77,8.23,22.42
278,10.58,18.77,8.23,22.42
279,10.58,18.77,8.23,22.42
280,10.58,18.77,8.23,22.42
281,10.58,18.77,8.23,9.93
282,21.20,5.93,2.40,9.93
283,21.20,5.93,2.40,9.93
284,21.20,5.93,2.40,9.93
285,21.20,5.93,2.40,9.93
286,21.20,5.93,2.40,15.56
287,11.68,10.63,5.75,15.56
288,11.68,10.63,5.75,15.56
289,11.68,10.63,5.75,15.56
290,11.68,10.63,5.75,15.56
291,11.68,10.63,5.75,9.46
292,4.46,4.46,2.26,9.46
293,4.46,4.46,2.26,9.46
294,4.46,4.46,2.26,9.46
295,4.46,4.46,2.26,9.46
296,4.46,4.46,2.26,11.81
297,9.62,9.62,2.94,11.81
298,9.62,9.62,2.94,11.81
299,9.62,9.62,2.94,11.81
300,9.62,9.62,2.94,11.81
301,9.62,9.62,2.94,12.00
302,5.31,8.12,3.94,12.00
303,5.31,8.12,3.94,12.00
304,5.31,8.12,3.94,12.00
305,5.31,8.12,3.94,12.00
306,5.31,8.12,3.94,9.18
307,13.47,23.99,10.58,9.18
308,13.47,23.99,10.58,9.18
309,13.47,23.99,10.58,9.18
310,13.47,23.99,10.58,9.18
311,13.47,23.99,10.58,21.15
312,24.29,28.74,16.61,21.15
313,24.29,28.74,16.61,21.15
314,24.29,28.74,16.61,21.15
315,24.29,28.74,16.61,21.15
316,24.29,28.74,16.61,15.47
317,13.80,24.33,7.67,15.47
318,13.80,24.33,7.67,15.47
319,13.80,24.33,7.67,15.47
320,13.80,24.33,7.67,15.47
321,13.80,24.33,7.67,9.39
322,16.74,6.24,5.13,9.39
323,16.74,6.24,5.13,9.39
324,16.74,6.24,5.13,9.39
325,16.74,6.24,5.13,9.39
326,16.74,6.24,5.13,13.68
327,16.06,13.43,8.75,13.68
328,16.06,13.43,8.75,13.68
329,16.06,13.43,8.75,13.68
330,16.06,13.43,8.75,13.68
331,16.06,13.43,8.75,20.55
332,27.23,24.29,16.49,20.55
333,27.23,24.29,16.49,20.55
